App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5924020,HDR,10/17/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5926835,HDR,11/17/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Copy of DMV license needed,12/13/2018 6:00
5923151,HDR,10/9/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5921677,HDR,9/25/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5924777,HDR,10/25/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924820,HDR,10/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924173,HDR,10/19/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5923215,HDR,10/10/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927178,HDR,11/21/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926558,HDR,11/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929262,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5921271,HDR,9/20/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925449,HDR,11/2/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924097,HDR,10/18/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5925955,HDR,11/8/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927765,HDR,11/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928794,HDR,12/8/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923506,HDR,10/12/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,12/13/2018 6:00
5927036,HDR,11/19/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926651,HDR,11/15/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5925574,HDR,11/3/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5923198,HDR,10/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5929245,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925486,HDR,11/2/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926922,HDR,11/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927928,HDR,11/30/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5925840,HDR,11/7/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925905,HDR,11/7/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928759,HDR,12/8/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927799,HDR,11/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5919350,HDR,8/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927549,HDR,11/27/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924881,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924944,HDR,10/28/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,12/13/2018 6:00
5929291,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926741,HDR,11/16/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928550,HDR,12/6/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927500,HDR,11/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5929317,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929212,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928419,HDR,12/5/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927712,HDR,11/28/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926812,HDR,11/16/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,12/13/2018 6:00
5927505,HDR,11/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,12/13/2018 6:00
5892665,HDR,8/3/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928839,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927687,HDR,11/28/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5929238,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929225,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927994,HDR,12/2/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5928351,HDR,12/4/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925194,HDR,10/30/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5922177,HDR,9/30/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,12/13/2018 6:00
5929112,HDR,12/11/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926561,HDR,11/14/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927664,HDR,11/28/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927685,HDR,11/28/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926036,HDR,11/8/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed,12/13/2018 6:00
5921617,HDR,9/24/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926407,HDR,11/13/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,12/13/2018 6:00
5928788,HDR,12/8/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926962,HDR,11/19/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924158,HDR,10/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926512,HDR,11/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928741,HDR,12/7/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928011,HDR,12/2/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5923950,HDR,10/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927715,HDR,11/28/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927365,HDR,11/25/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5912324,HDR,8/22/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924448,HDR,10/22/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5919262,HDR,8/30/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929022,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927806,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927012,HDR,11/19/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Fingerprints needed,12/13/2018 6:00
5919937,HDR,9/8/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5921368,HDR,9/21/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926923,HDR,11/18/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,12/13/2018 6:00
5928855,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925640,HDR,11/5/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,12/13/2018 6:00
5923097,HDR,10/9/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,12/13/2018 6:00
5926653,HDR,11/15/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5920730,HDR,9/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928391,HDR,12/5/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5921992,HDR,9/27/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926222,HDR,11/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928889,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5920981,HDR,9/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924929,HDR,10/28/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5919308,HDR,8/31/2018,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928800,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5926996,HDR,11/19/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920057,HDR,9/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927633,HDR,11/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5925242,HDR,10/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924617,HDR,10/24/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927155,HDR,11/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922057,HDR,9/28/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5928091,HDR,12/3/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5928798,HDR,12/9/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5925352,HDR,11/1/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,12/13/2018 6:00
5920229,HDR,9/11/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5924622,HDR,10/24/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,12/13/2018 6:00
5919348,HDR,8/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927837,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927987,HDR,12/2/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927931,HDR,11/30/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,12/13/2018 6:00
5921155,HDR,9/20/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5923627,HDR,10/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922009,HDR,9/27/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927790,HDR,11/29/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923184,HDR,10/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927846,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5922909,HDR,10/6/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927421,HDR,11/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927929,HDR,11/30/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928749,HDR,12/7/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929213,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925782,HDR,11/6/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927947,HDR,12/1/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925660,HDR,11/5/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922389,HDR,10/1/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5884609,HDR,6/30/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927791,HDR,11/29/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,12/13/2018 6:00
5921341,HDR,9/21/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5927729,HDR,11/28/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5921443,HDR,9/23/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,12/13/2018 6:00
5926207,HDR,11/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5924976,HDR,10/29/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5926048,HDR,11/8/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5917501,HDR,8/26/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925369,HDR,11/1/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5919284,HDR,8/31/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927522,HDR,11/26/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5928832,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927000,HDR,11/19/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5924587,HDR,10/24/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920371,HDR,9/12/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929314,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925715,HDR,11/5/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5926645,HDR,11/15/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927285,HDR,11/23/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,12/13/2018 6:00
5922506,HDR,10/2/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5923626,HDR,10/14/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923934,HDR,10/16/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929288,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928008,HDR,12/2/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5913547,HDR,8/23/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923409,HDR,10/11/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928227,HDR,12/3/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5922002,HDR,9/27/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927121,HDR,11/20/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927750,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929264,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5921147,HDR,9/19/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,12/13/2018 6:00
5923775,HDR,10/15/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922936,HDR,10/7/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,12/13/2018 6:00
5928902,HDR,12/10/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5910602,HDR,8/21/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923221,HDR,10/10/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,12/13/2018 6:00
5920317,HDR,9/12/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5925007,HDR,10/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927146,HDR,11/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929266,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929229,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924930,HDR,10/28/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5922169,HDR,9/29/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928242,HDR,12/4/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925093,VDR,10/29/2018,Approved - License Issued,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,12/13/2018 6:00
5921646,HDR,9/25/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5920370,HDR,9/12/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5902997,HDR,8/14/2018,Pending Fitness Interview,12/5/2018,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924379,HDR,10/22/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927518,HDR,11/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928887,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927340,HDR,11/24/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927384,HDR,11/25/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5928645,HDR,12/7/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924170,HDR,10/19/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5929082,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928784,HDR,12/8/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5922684,HDR,10/3/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Not Applicable,12/13/2018 6:00
5921297,HDR,9/21/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926324,HDR,11/12/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5923096,HDR,10/9/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5925489,HDR,11/2/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928241,HDR,12/4/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928357,HDR,12/4/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,12/13/2018 6:00
5929278,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926073,HDR,11/9/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5919343,HDR,8/31/2018,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5925714,HDR,11/5/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5926388,HDR,11/13/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
